episodenbr,title,weekday,broadcastdate,broadcasthour,duration,views,share,AI,chart,summary
406,Planet of Evil: Part One,Sat,27 Sep 1975,5:45pm,00:24:02,10.40m,,56.0,19,The TARDIS takes the Doctor and Sarah to the planet Zeta Minor on the edge of the universe. An unseen menace has wiped out a Morestran expedition and haunts the alien jungle...
407,Planet of Evil: Part Two,Sat,4 Oct 1975,5:46pm,00:22:30,9.90m,,,24,"The Doctor and Sarah are held responsible for the deaths on Zeta Minor, but the Time Lord knows that the real culprit comes from the mysterious universe of antimatter."
408,Planet of Evil: Part Three,Sat,11 Oct 1975,6:07pm,00:23:50,9.10m,,57.0,29,"Lost in the universe of antimatter, the Doctor communes with the creature and makes a bargain. Sarah discovers Professor Sorensen's dark secret which threatens to overwhelm him."
409,Planet of Evil: Part Four,Sat,18 Oct 1975,5:46pm,00:23:43,10.10m,,54.0,26,"Unable to escape, the Morestran probe is being pulled back to the surface of Zeta Minor. On board the ship, the Doctor and Sarah are hemmed in by anti-men!"
410,Pyramids of Mars: Part One,Sat,25 Oct 1975,5:47pm,00:25:22,10.50m,,,28,"The TARDIS lands in 1911. In the grounds of the Old Priory, Egyptian mummies are walking and the Doctor and Sarah find that an ancient and powerful evil is menacing mankind."
411,Pyramids of Mars: Part Two,Sat,1 Nov 1975,5:48pm,00:23:53,11.30m,,,15,"The Doctor, Sarah and Laurence Scarman are being hunted by Sutekh's robot mummies. The Doctor has a plan to disrupt Sutekh's control signal, but will it work?"
412,Pyramids of Mars: Part Three,Sat,8 Nov 1975,5:46pm,00:24:32,9.40m,,,37,"As part of a plan to release Sutekh, the mummies are building a rocket to fire at the pyramid on Mars. The Doctor is resolved to destroy the rocket but is Sutekh's will too strong?"
413,Pyramids of Mars: Part Four,Sat,15 Nov 1975,5:45pm,00:24:52,11.70m,,60.0,22,"Inside the pyramid on Mars, the Doctor and Sarah must solve puzzles and escape traps to prevent Sutekh's release from his imprisonment  but are they too late?"
414,The Android Invasion: Part One,Sat,22 Nov 1975,5:47pm,00:24:21,11.90m,,58.0,17,The TARDIS apparently arrives back on Earth but all is not as it seems as the Doctor and Sarah are attacked by mysterious space suited figures and find that the 'dead' are walking.
415,The Android Invasion: Part Two,Sat,29 Nov 1975,5:45pm,00:24:30,11.30m,,,24,Sarah is taken prisoner by the alien Kraals and the Doctor discovers the truth behind the village and its robot population.
416,The Android Invasion: Part Three,Sat,6 Dec 1975,5:46pm,00:24:50,12.10m,,,14,The Kraals intend to invade Earth by stowing away aboard Crayford's rocket as it returns home. The Doctor learns Styggron's plan is to wipe out all life on the planet.
417,The Android Invasion: Part Four,Sat,13 Dec 1975,5:56pm,00:24:30,11.40m,,,15,"The Doctor and Sarah are desperate to warn UNIT of the alien invasion, but nobody will believe them. The Kraals' release their android duplicates, including one of the Doctor."
418,The Brain of Morbius: Part One,Sat,3 Jan 1976,5:56pm,00:25:25,9.50m,,,30,"The Doctor and Sarah arrive on the planet Karn. There they take shelter in the castle of Dr Solon who is secretly hiding the living brain of the Time Lord criminal, Morbius."
419,The Brain of Morbius: Part Two,Sat,10 Jan 1976,5:47pm,00:24:46,9.30m,,,32,The Doctor is a prisoner of the Sisterhood of Karn who intend to burn him at the stake. Sarah hurries to the Doctor's rescue but pays the price for her efforts.
420,The Brain of Morbius: Part Three,Sat,17 Jan 1976,5:45pm,00:25:07,10.10m,,57.0,23,"Sarah has been blinded and the Doctor asks the Sisterhood for help. Morbius, fearful that the Time Lords have tracked him down, tells Solon to install his brain in a new body."
421,The Brain of Morbius: Part Four,Sat,24 Jan 1976,5:55pm,00:24:18,10.20m,,,28,"Morbius, housed in a gruesome new body, breathes and moves once more! The Doctor is forced to challenge him to a terrifying mental duel which will lead to death!"
422,The Seeds of Doom: Part One,Sat,31 Jan 1976,6:00pm,00:24:10,11.40m,,59.0,16,"Learning of an alien seed pod at the Antarctic, the Doctor and Sarah investigate. But they are too late. A man is already turning into a Krynoid."
423,The Seeds of Doom: Part Two,Sat,7 Feb 1976,5:31pm,00:24:09,11.40m,,,30,The Krynoid is on the loose... Scorby and Keeler have been sent to the base to steal the alien pod and are willing to kill to cover their tracks.
424,The Seeds of Doom: Part Three,Sat,14 Feb 1976,5:56pm,00:24:51,10.30m,,,32,The Doctor and Sarah track down the remaining Krynoid pod to the estate of Harrison Chase. The millionaire botanist intends use the pod to change a human victim into a Krynoid.
425,The Seeds of Doom: Part Four,Sat,21 Feb 1976,5:46pm,00:24:46,11.10m,,,23,Keeler has been infected by the alien pod and is transforming into a Krynoid. Chase refuses to listen to the Doctor's warning and throws him into a compost machine.
426,The Seeds of Doom: Part Five,Sat,28 Feb 1976,5:47pm,00:25:06,9.90m,,,26,"The Krynoid demands that the Doctor be surrendered to it. But the Time Lord escapes and seeks help. Sarah and Scorby, still trapped on the estate, battle the living plants."
427,The Seeds of Doom: Part Six,Sat,6 Mar 1976,5:47pm,00:21:51,11.50m,,,15,"The Doctor, Sarah and Scorby are hunted down by the mad Harrison Chase. Outside the Krynoid prepares to germinate, sending its deadly seed pods out across the world."
428,The Masque of Mandragora: Part One,Sat,4 Sep 1976,6:12pm,00:24:31,8.30m,,58.0,40,The Doctor and Sarah arrive in Renaissance Italy unaware that they have brought a deadly alien energy force with them.
429,The Masque of Mandragora: Part Two,Sat,11 Sep 1976,6:07pm,00:24:44,9.80m,,56.0,22,"The Mandragora energy joins forces with the secret Brotherhood of Demnos. Count Federico plots to steal the Dukedom of San Martino from his nephew, Giuliano."
430,The Masque of Mandragora: Part Three,Sat,18 Sep 1976,6:11pm,00:24:34,9.20m,,,29,"Tempted by the promises of ultimate power offered by Mandragora, Hieronymous plots to eliminate the threat posed by the Doctor and uses an unwitting Sarah as his weapon."
431,The Masque of Mandragora: Part Four,Sat,25 Sep 1976,6:12pm,00:24:45,10.60m,,56.0,23,"As the leading scholars of the era assemble in the palace for the masque, Mandragora prepares to attack, intent on sending the world into a new dark age."
432,The Hand Of Fear: Part One,Sat,2 Oct 1976,6:11pm,00:24:50,10.50m,,,24,"The TARDIS returns to present day Earth, where Sarah is caught in a rock fall and becomes possessed by the fossilized stone hand of the alien Eldrad."
433,The Hand Of Fear: Part Two,Sat,9 Oct 1976,5:50pm,00:24:48,10.20m,,,29,"At the nuclear power station, the stone hand has come to life and is determined to gain access to the reactor core."
434,The Hand Of Fear: Part Three,Sat,16 Oct 1976,6:07pm,00:24:22,11.10m,,62.0,20,"The hand has used the nuclear energy to regenerate itself into the female form of the alien Eldrad, who demands that the Doctor return her to the planet Kastria."
435,The Hand Of Fear: Part Four,Sat,23 Oct 1976,6:02pm,00:25:00,12.00m,,,19,"On the dead world of Kastria, the Doctor and Sarah begin to suspect that Eldrad has not been entirely truthful with them."
436,The Deadly Assassin: Part One,Sat,30 Oct 1976,6:09pm,00:21:13,11.80m,,,15,The Doctor answers a summons to return home to Gallifrey and races to prevent a tragedy as the outgoing Time Lord president prepares to announce his successor.
437,The Deadly Assassin: Part Two,Sat,6 Nov 1976,6:04pm,00:24:44,12.10m,,59.0,11,"The Time Lord president has been assassinated and the Doctor is the prime suspect. The Doctor realises that he has been framed for the murder, but by whom?"
438,The Deadly Assassin: Part Three,Sat,13 Nov 1976,6:07pm,00:24:20,13.00m,,,12,The Doctor enters the virtual world of the Matrix in the hope of tracking down the Master. He is then challenged by a masked opponent to a battle that only one of them can survive.
439,The Deadly Assassin: Part Four,Sat,20 Nov 1976,6:07pm,00:24:30,11.80m,,61.0,12,Goth has been exposed as the assassin but the game is not over. The Master makes his final bid to release the devastating power of the Time Lords.
440,The Face of Evil: Part One,Sat,1 Jan 1977,6:22pm,00:24:58,10.70m,,61.0,23,"The Doctor arrives on an alien world and is taken captive by the savage Sevateem tribe. Accused of being 'the evil one', the Doctor begins to suspect that he has been here before."
441,The Face of Evil: Part Two,Sat,8 Jan 1977,6:29pm,00:24:58,11.10m,,,19,"With the Sevateem against him, the Doctor attempts to win their trust by facing the trial of the Horta. The tribe prepare to launch an attack to free their god, Xoanon."
442,The Face of Evil: Part Three,Sat,15 Jan 1977,6:22pm,00:24:40,11.30m,,59.0,20,"Penetrating the barrier with Leela, the Doctor enters the spaceship which is controlled by the Tesh. There he discovers the truth about Xoanon and realises that he is to blame."
443,The Face of Evil: Part Four,Sat,22 Jan 1977,6:26pm,00:24:46,11.70m,,60.0,19,"Determined to rectify his earlier mistake, the Doctor tries to repair Xoanon. But the insane computer refuses to accept his help and prepares to destroy the entire planet."
444,The Robots of Death: Part One,Sat,29 Jan 1977,6:20pm,00:24:06,12.10m,,62.0,14,The TARDIS takes the Doctor and Leela to a huge sandminer on an alien world. One of the crew is killed and the murderer may not be human.
445,The Robots of Death: Part Two,Sat,5 Feb 1977,6:22pm,00:24:15,12.40m,,,17,"The Doctor and Leela are blamed for the murder of one of the sandminer's crew. But the real killer is still on the loose, intent on wiping out more of the humans."
446,The Robots of Death: Part Three,Sat,12 Feb 1977,6:18pm,00:23:51,13.10m,,,15,"One of the crew is the insane Taren Capel, who is using robots to carry out the murders. The Doctor discovers that there are also others who aren't what they appear to be either."
447,The Robots of Death: Part Four,Sat,19 Feb 1977,6:25pm,00:23:42,12.60m,,57.0,18,"As Taren Capel reveals himself and his army of killer robots close in, the Doctor and Leela join forces with the surviving crew members to defend themselves."
448,The Talons of Weng-Chiang: Part One,Sat,26 Feb 1977,6:32pm,00:24:44,11.30m,,,16,"The Doctor and Leela arrive in Victorian London where a number of young women have disappeared. A man's body is lifted from the Thames, covered in the bite marks of a giant rat."
449,The Talons of Weng-Chiang: Part Two,Sat,5 Mar 1977,6:37pm,00:24:26,9.80m,,,28,The Doctor and Leela take refuge at the home of Professor Litefoot. But the agents of Weng-Chiang are not far behind.
450,The Talons of Weng-Chiang: Part Three,Sat,12 Mar 1977,6:31pm,00:21:56,10.20m,,,22,Weng-Chiang is desperate to recover his lost time cabinet. Leela takes the opportunity to track the Chinese 'god' to his lair where she must face one of his terrifying creations.
451,The Talons of Weng-Chiang: Part Four,Sat,19 Mar 1977,6:31pm,00:24:30,11.40m,,60.0,21,The Doctor and Leela take a trip to the theatre with the intention of confronting Li H'sen Chang. But Weng-Chiang has already made plans to dispose of his former servant.
452,The Talons of Weng-Chiang: Part Five,Sat,26 Mar 1977,6:30pm,00:24:49,10.10m,,,18,Weng-Chiang/Magnus Greel has recovered his lost time cabinet and the Doctor hurries to track him down before he uses it and destroys the whole of London.
453,The Talons of Weng-Chiang: Part Six,Sat,2 Apr 1977,6:30pm,00:23:26,9.30m,,58.0,32,The Doctor tracks Greel to his secret hideaway at the House of the Dragon. There the Doctor reveals the Weng-Chiang's real identity and confronts him for the last time.
454,Horror of Fang Rock: Part One,Sat,3 Sep 1977,6:17pm,00:24:10,6.80m,,58.0,52,The TARDIS lands on the island of Fang Rock at the start of the 20th century. There the Doctor and Leela find a lighthouse keeper has been killed and a creature is at large...
455,Horror of Fang Rock: Part Two,Sat,10 Sep 1977,6:15pm,00:24:10,7.10m,,,51,A thick fog surrounds Fang Rock and a ship is wrecked. The survivors take shelter in the lighthouse but they are in deadly peril from the alien menace that stalks the island.
456,Horror of Fang Rock: Part Three,Sat,17 Sep 1977,6:17pm,00:23:12,9.80m,,60.0,23,The Doctor seals the survivors inside the lighthouse but discovers that he may unwittingly have trapped the creature inside with them.
457,Horror of Fang Rock: Part Four,Sat,24 Sep 1977,6:16pm,00:23:12,9.90m,,57.0,28,"As the Rutan picks off the remaining humans one by one, the Doctor devises a desperate plan to defeat the alien and repel its approaching mothership."
458,The Invisible Enemy: Part One,Sat,1 Oct 1977,6:20pm,00:23:09,8.60m,,,40,"An alien virus infects the human crew of a refuelling station on Titan, one of the moons of Saturn. The Doctor is also infected and becomes possessed by the will of the Nucleus."
459,The Invisible Enemy: Part Two,Sat,8 Oct 1977,6:04pm,00:25:13,7.30m,,,55,"As the Doctor's condition worsens, he instructs Leela to pilot the TARDIS to the Bi-Al Foundation. The only chance of curing the Doctor is to literally get inside his head."
460,The Invisible Enemy: Part Three,Sat,15 Oct 1977,6:13pm,00:23:28,7.50m,,,65,The Doctor and Leela have been cloned and miniaturised and injected into the Doctor's body. There they must fight the virus on a microscopic level before time runs out.
461,The Invisible Enemy: Part Four,Sat,22 Oct 1977,6:12pm,00:21:22,8.30m,,60.0,50,The Nucleus has escaped the Doctor's body and grown to human size. Its plans to spawn and infect the whole galaxy are nearing fruition. And it looks like K-9 has a new master
462,Image of the Fendahl: Part One,Sat,29 Oct 1977,6:11pm,00:24:38,6.70m,,,70,The Doctor and Leela arrive in present day England at Fetch Priory where a mysterious skull that is older than mankind exerts a deadly influence on those around it.
463,Image of the Fendahl: Part Two,Sat,5 Nov 1977,6:10pm,00:24:44,7.50m,,75.0,54,"As Thea succumbs to the power of the skull, the Doctor realises that an ancient horror from the mythology of his own people is manifesting itself at Fetch Priory."
464,Image of the Fendahl: Part Three,Sat,12 Nov 1977,6:06pm,00:24:22,7.90m,,,63,Stahl intends to control the power of the Fendahl for himself. The Doctor and Leela take a trip in the TARDIS to discover the truth about the ancient evil from the dawn of time
465,Image of the Fendahl: Part Four,Sat,19 Nov 1977,6:13pm,00:20:32,9.10m,,61.0,46,"Thea has become the Fendahl Core and Stahl realises that he is out of his depth as his followers transform into the hideous, snake-like Fendahleen."
466,The Sun Makers: Part One,Sat,26 Nov 1977,6:07pm,00:24:59,8.50m,,,48,The TARDIS arrives on Pluto which has been made habitable and turned into a giant factory where the ruthless Company exploits its under-paid workers.
467,The Sun Makers: Part Two,Sat,3 Dec 1977,6:05pm,00:24:57,9.50m,,62.0,36,"The Doctor is taken prisoner by the Gatherer and sent to the Correction Centre. Leela mounts a rescue attempt, but the Gatherer's men are waiting."
468,The Sun Makers: Part Three,Sat,10 Dec 1977,6:05pm,00:24:57,8.90m,,,35,The Doctor is free but Leela has been captured by the Gatherer and is sentenced to a grisly death by public steaming.
469,The Sun Makers: Part Four,Sat,17 Dec 1977,6:08pm,00:24:57,8.40m,,59.0,42,The rebels launch a full-scale uprising against the Gatherer and his Inner Retinue while the Doctor confronts the real head of the Company.
470,Underworld: Part One,Sat,7 Jan 1978,6:24pm,00:22:36,8.90m,,65.0,50,The TARDIS arrives on Pluto which has been made habitable and turned into a giant factory where the ruthless Company exploits its under-paid workers.
471,Underworld: Part Two,Sat,14 Jan 1978,6:26pm,00:21:27,9.10m,,,37,"The Doctor is taken prisoner by the Gatherer and sent to the Correction Centre. Leela mounts a rescue attempt, but the Gatherer's men are waiting."
472,Underworld: Part Three,Sat,21 Jan 1978,6:30pm,00:22:21,8.90m,,,37,The Doctor is free but Leela has been captured by the Gatherer and is sentenced to a grisly death by public steaming.
473,Underworld: Part Four,Sat,28 Jan 1978,6:29pm,00:23:03,11.70m,,,27,The rebels launch a full-scale uprising against the Gatherer and his Inner Retinue while the Doctor confronts the real head of the Company.
474,The Invasion of Time: Part One,Sat,4 Feb 1978,6:25pm,00:25:00,11.20m,,56.0,28,"Leela is concerned by the Doctor's strange behaviour when, after a secret meeting with aliens, he returns to Gallifrey and abruptly stakes his claim to the Time Lord presidency."
475,The Invasion of Time: Part Two,Sat,11 Feb 1978,6:24pm,00:25:00,11.40m,,,29,The Doctor is made president of the Time Lords. He immediately orders K-9 to lower the planet's defences and has Leela banished to the wilderness.
476,The Invasion of Time: Part Three,Sat,18 Feb 1978,6:24pm,00:25:00,9.50m,,,47,The Doctor has betrayed his own people and enabled a Vardan invasion of Gallifrey. Leela joins forces with the Outsiders and prepares to strike back against the aliens.
477,The Invasion of Time: Part Four,Sat,25 Feb 1978,6:25pm,00:23:31,10.90m,,,28,"As the Vardans finally fully materialise on Gallifrey, the Doctor prepares to spring his trap. But does a more deadly alien force lie behind the Vardans?"
478,The Invasion of Time: Part Five,Sat,4 Mar 1978,6:26pm,00:25:00,10.30m,,,32,The Sontarans have taken control of the Capital on Gallifrey and intend to use the power of the Time Lords to rampage through all of time.
479,The Invasion of Time: Part Six,Sat,11 Mar 1978,6:25pm,00:25:54,9.80m,,,35,"Stor, the Sontaran leader, finally gains access to the TARDIS in search of the Great Key of Rassilon and a dangerous game of hide and seek begins inside the Doctor's ship."
480,The Ribos Operation: Part One,Sat,2 Sep 1978,5:44pm,00:25:02,8.30m,,59.0,42,"The Guardian of Time gives the Doctor a difficult task, and a new assistant. Together they must search for the six segments of the Key to Time, to prevent the Universe from being plunged into eternal chaos.On their mission, the Doctor and Romana travel to the planet Ribos where the first segment of the key is protected by the monstrous Shrivenzale."
481,The Ribos Operation: Part Two,Sat,9 Sep 1978,6:21pm,00:24:46,8.10m,,,36,"Garron is attempting to trick the Graff Vynda-K into buying the planet Ribos, but the jethrik that is vital to his plan is really the first segment of the Key to Time."
482,The Ribos Operation: Part Three,Sat,16 Sep 1978,6:31pm,00:24:42,7.90m,,,38,The Doctor and Romana's search for the first segment of the Key to Time is hampered when the Graff Vynda-K takes them prisoner.
483,The Ribos Operation: Part Four,Sat,23 Sep 1978,6:21pm,00:24:50,8.20m,,67.0,36,"Pursued into the catacombs by the Graff and attacked by the ferocious Shrivenzale, the Doctor and Romana struggle to stay alive and find the first segment of the Key to Time."
484,The Pirate Planet: Part One,Sat,30 Sep 1978,6:22pm,00:25:05,9.10m,,61.0,30,"The Doctor, Romana and K9 face new dangers searching for the second segment to the Key to Time. What has happened to the planet it is hidden on?Instead of landing on Calufrax as originally intended, they arrive on a different planet and encounter the Mentiads, and the strange Captain."
485,The Pirate Planet: Part Two,Sat,7 Oct 1978,6:21pm,00:25:30,7.40m,,,52,"Still in search of the missing planet, Calufrax, the Doctor and Romana encounter the telepathic Mentiads and Zanak's ruler, the half man, half robot Captain."
486,The Pirate Planet: Part Three,Sat,14 Oct 1978,6:21pm,00:25:47,8.20m,,64.0,44,"The Doctor has discovered the sinister truth about Zanak and solved the mystery of the missing planet. On the Bridge, the Doctor meets the real ruler of Zanak."
487,The Pirate Planet: Part Four,Sat,21 Oct 1978,6:22pm,00:25:16,8.40m,,64.0,46,Time is running out for the Doctor and Romana in their struggle to defeat the Captain. They join forces with the Mentiads to prevent the Captain and Xanxia from using Zanak to consume Earth.
488,The Stones of Blood: Part One,Sat,28 Oct 1978,6:24pm,00:24:20,8.60m,,,38,The Doctor and Romana track the third segment of the Key to Time to the vicinity of an ancient stone circle on Earth. But sinister forces are at work and the stones hide a secret.
489,The Stones of Blood: Part Two,Sat,4 Nov 1978,6:22pm,00:23:53,6.60m,,,75,The leaders of a druidic cult have been killed and it seems that the stones from the stone circle are alive and have a taste for human blood.
490,The Stones of Blood: Part Three,Sat,11 Nov 1978,6:21pm,00:24:27,9.30m,,,38,"As the blood-hungry Ogri close in, the Doctor launches a desperate attempt to rescue Romana from hyperspace."
491,The Stones of Blood: Part Four,Sat,18 Nov 1978,6:23pm,00:23:07,7.60m,,67.0,66,"The Doctor releases two alien justice machines from imprisonment but they sentence him to death! Meanwhile, Romana searches for clues that will reveal Vivien Fay's true identity."
492,The Androids of Tara: Part One,Sat,25 Nov 1978,6:22pm,00:24:53,8.50m,,,45,"The Doctor's search for the Key to Time continues when the tracer brings the TARDIS to the planet Tara. Romana quickly finds the fourth segment disguised as part of a statue but is then taken prisoner by Count Grendel of Gracht who has desires on the Taran throne and who is astounded to see she's the identical double of the Princess Strella,"
493,The Androids of Tara: Part Two,Sat,2 Dec 1978,6:21pm,00:24:27,10.10m,,65.0,30,"Count Grendel is plotting to seize the Taran throne from the rightful heir, Prince Reynart, and has mistaken Romana for an android duplicate of the Prince's betrothed, Princess Strella, to whom she bears a remarkable resemblance. The Doctor is meanwhile captured by Prince Reynart's men Zadek and Farrah and taken to his hunting lodge, where he is forced to repair an android double of the Prince to act as a decoy for potential assassins."
494,The Androids of Tara: Part Three,Sat,9 Dec 1978,6:21pm,00:23:52,8.90m,,,38,
495,The Androids of Tara: Part Four,Sat,16 Dec 1978,6:19pm,00:24:49,9.00m,,66.0,45,
496,The Power of Kroll: Part One,Sat,23 Dec 1978,6:17pm,00:23:16,6.50m,,,85,"Tracing the fifth segment of the Key to Time to the third moon of Delta Magna, the Doctor and Romana are soon caught up in the conflict between humans and the Swampies."
497,The Power of Kroll: Part Two,Sat,30 Dec 1978,6:30pm,00:23:57,12.40m,,,26,"The Doctor arrives in time to save Romana from being sacrificed to the bogus god, Kroll. But it's not long before the very real Kroll makes a terrifying appearance."
498,The Power of Kroll: Part Three,Sat,6 Jan 1979,6:27pm,00:21:56,8.90m,,,51,"With the giant, squid-like monster Kroll awake and angry, the Swampies are eager to appease their 'god' by using the Doctor and Romana as sacrificial victims."
499,The Power of Kroll: Part Four,Sat,13 Jan 1979,6:27pm,00:21:58,9.90m,,63.0,31,"With Kroll on the rampage, the Doctor and Romana are appalled to discover that Thawn intends to fire a rocket at the creature which will also kill the Swampies. Can the Doctor find the fifth segment in time to save the day?"
500,The Armageddon Factor: Part One,Sat,20 Jan 1979,6:25pm,00:24:39,7.50m,,65.0,93,"Looking for the final segment of the Key to Time, the Doctor and Romana arrive on the planet Atrios which is in a major nuclear war with the neighbouring world of Zeos."
101,The Daleks' Master Plan: The Abandoned Planet,Sat,22 Jan 1966,5:50pm,00:24:34,9.80m,,49.0,35,"Returning to Kembel, the Doctor, Sara and Steven discover the Dalek base has been abandoned and that the leaders of the alliance have been imprisoned."
102,The Daleks' Master Plan: The Destruction of Time,Sat,29 Jan 1966,5:50pm,00:23:31,8.60m,,57.0,39,"Mavic Chen proclaims himself leader of the Daleks' alliance. With the Time Destructor now complete and operational, the Doctor fears the Daleks will become unstoppable."
103,The Massacre of St Bartholomew's Eve: War of God,Sat,5 Feb 1966,5:15pm,00:24:51,8.00m,,52.0,45,"The Doctor and Steven arrive in Paris in the 16th Century. The Doctor talks science with apothecary, Charles Preslin, whilst Steven learns of a Catholic plot."
104,The Massacre of St Bartholomew's Eve: The Sea Beggar,Sat,12 Feb 1966,5:15pm,00:24:43,6.00m,,52.0,96,Steven is suspected of being a Catholic spy and is amazed to discover that the Catholic Abbot of Amboise is an exact double for the Doctor.
105,The Massacre of St Bartholomew's Eve: Priest of Death,Sat,19 Feb 1966,5:15pm,00:24:33,5.90m,,49.0,92,"Believing the Abbot of Amboise to be the Doctor in disguise, Steven is horrified when the Abbot is murdered!"
106,The Massacre of St Bartholomew's Eve: Bell of Doom,Sat,26 Feb 1966,5:15pm,00:25:06,5.80m,,53.0,94,"Steven is relieved to discover that the Abbot was the Doctor's double. But as the time of the massacre approaches, the Doctor is eager that they make their escape."
107,The Ark: The Steel Sky,Sat,5 Mar 1966,5:15pm,00:24:00,5.50m,,55.0,102,"Arriving in the future on a spaceship carrying the remains of the Earth's population, the Doctor, Steven and Dodo are accused of bringing the plague when Dodo's cold turns deadly."
108,The Ark: The Plague,Sat,12 Mar 1966,5:15pm,00:25:00,6.90m,,56.0,70,"Put on trial and found guilty of introducing a deadly plague to the Ark, the lives of the Doctor, Steven and Dodo hang in the balance as the Doctor attempts to find a cure."
109,The Ark: The Return,Sat,19 Mar 1966,5:15pm,00:24:19,6.20m,,51.0,85,"When the TARDIS returns to the Ark at the end of its centuries long voyage, the travellers discover that the humans have been enslaved by their former servants, the Monoids."
110,The Ark: The Bomb,Sat,26 Mar 1966,5:15pm,00:24:37,7.30m,,50.0,71,"Unwilling to share the new world, Refusis, with their human slaves, the Monoids plan to blow up the Ark with a bomb which is hidden somewhere on the ship."
111,The Celestial Toymaker: The Celestial Toyroom,Sat,2 Apr 1966,5:50pm,00:24:40,8.00m,,48.0,44,"Arriving in the strange world of the Celestial Toymaker, the Doctor and his companions find themselves trapped there and forced to play a series of deadly games."
112,The Celestial Toymaker: The Hall of Dolls,Sat,9 Apr 1966,5:50pm,00:24:45,8.00m,,49.0,49,The Doctor must solve the Trilogic puzzle whilst Dodo and Steven play a deadly game of musical chairs.
113,The Celestial Toymaker: The Dancing Floor,Sat,16 Apr 1966,5:49pm,00:24:10,9.40m,,44.0,32,"The Doctor is taunted by the Toymaker as he plays the Trilogic game, and Steven and Dodo play hunt the thimble in a bid to recover the TARDIS key."
114,The Celestial Toymaker: The Final Test,Sat,23 Apr 1966,5:50pm,00:23:57,7.80m,,43.0,36,Steven and Dodo compete against nasty schoolboy Cyril as the Doctor realises that winning the game may actually be worse than losing.
115,The Gunfighters: A Holiday for the Doctor,Sat,30 Apr 1966,5:50pm,00:23:48,6.50m,,45.0,50,"The Doctor, Steven and Dodo arrive in Tombstone in America's Wild West. Mistaken for the infamous Doc Holliday, the Doctor unwittingly walks into a trap."
116,The Gunfighters: Don't Shoot the Pianist,Sat,7 May 1966,5:49pm,00:23:47,6.60m,,39.0,45,Tensions between the Clantons and Doc Holliday continue to grow and Steven finds himself caught in the crossfire.
117,The Gunfighters: Johnny Ringo,Sat,14 May 1966,5:55pm,00:23:52,6.20m,,36.0,51,Events in Tombstone take a turn for the worse when gunslinger Johnny Ringo is hired by the Clantons and shots are fired in the jailhouse.
118,The Gunfighters: The O.K. Corral,Sat,21 May 1966,5:51pm,00:23:53,5.70m,,30.0,60,"Despite the Doctor's efforts, a final showdown between the Clantons, Holliday, Earp and Ringo seems inevitable."
119,The Savages: Episode 1,Sat,28 May 1966,5:36pm,00:23:41,4.80m,,48.0,62,"The TARDIS takes the Doctor, Dodo and Steven to a world in the future. They're welcomed by Jano, leader of an advanced civilization, but a secret lies behind the 'utopian' society."
120,The Savages: Episode 2,Sat,4 Jun 1966,5:34pm,00:23:57,5.60m,,49.0,50,"The Elders are hunting the 'Savages' to extract their life force for themselves, and now the Doctor is about to face the same fate."
121,The Savages: Episode 3,Sat,11 Jun 1966,5:34pm,00:24:59,5.00m,,48.0,66,Steven and Dodo break into the city of the Elders in an attempt to rescue the Doctor. But they have been detected and their escape route is cut off.
122,The Savages: Episode 4,Sat,18 Jun 1966,5:35pm,00:24:41,4.50m,,48.0,93,"Absorbing the Doctor's life force, the leader Jano also acquires his ethics. With Jano's help, the Doctor, Steven and Dodo inspire the 'Savages' to fight against their oppressors."
123,The War Machines: Episode 1,Sat,25 Jun 1966,5:35pm,00:24:01,5.40m,,49.0,71,"In London in 1966, the Doctor and Dodo visit the new Post Office Tower and are introduced to the super computer, WOTAN."
124,The War Machines: Episode 2,Sat,2 Jul 1966,6:56pm,00:24:00,4.70m,,45.0,76,WOTAN has put in motion its plan to dominate the world and has ordered its human subjects to construct deadly war machines in secret locations.
125,The War Machines: Episode 3,Sat,9 Jul 1966,5:35pm,00:23:58,5.30m,,44.0,62,"With WOTAN's plans for world conquest about to reach fruition, the Doctor comes face-to-face with the unstoppable might of the War Machines."
126,The War Machines: Episode 4,Sat,16 Jul 1966,5:16pm,00:23:11,5.50m,,39.0,67,The Doctor hatches a dangerous plan to capture a War Machine and turn WOTAN's creations against it.
127,The Smugglers: Episode 1,Sat,10 Sep 1966,5:49pm,00:24:36,4.30m,,47.0,96,"In 17th Century Cornwall, Joseph Longfoot passes a message to the Doctor and is then murdered. Captain Pike is seeking treasure to which the Doctor now holds the only clue."
128,The Smugglers: Episode 2,Sat,17 Sep 1966,5:54pm,00:24:27,4.90m,,45.0,77,"The Doctor is held captive aboard the pirate ship whilst Captain Pike strikes a deal with the Smugglers. Ben and Polly are imprisoned, accused of murdering the church warden."
129,The Smugglers: Episode 3,Sat,24 Sep 1966,5:49pm,00:23:55,4.20m,,43.0,96,"Escaping from the pirate ship and reunited with Ben and Polly, the Doctor goes in search of the hidden treasure. But the pirates and the smugglers aren't far behind."
130,The Smugglers: Episode 4,Sat,1 Oct 1966,5:51pm,00:23:37,4.50m,,43.0,109,"The greed of the pirates leads to betrayals and death. With Polly held hostage, the Doctor is forced to reveal the secret hiding place of the lost treasure."
