episodenbr,role,name
211,Statue,Valerie Wood (uncredited)
212,Dr. Who,Patrick Troughton
212,Toba,Kenneth Ives
212,Rago,Ronald Allen
212,Quark,John Hicks
212,Quark,Gary Smith
212,Quark,Freddie Wilson
212,Quark voice,Sheila Grant
212,Cully,Arthur Cox
212,Zoe,Wendy Padbury
212,Jamie,Frazer Hines
212,Bovem,Alan Gerrard
212,Teel,Giles Block
212,Balan,Johnson Bayly
212,Kando,Felicity Gibson
212,Council Member,Ronald Mansell
212,Council Member,John Cross
212,Senex,Walter Fitzgerald
212,Tensa,Brian Cant
212,Council Member,Malcolm Watson (uncredited)
212,Council Member,Aubrey Danvers Walker (uncredited)
212,(extra),Chris Jefferies (uncredited)
213,Dr. Who,Patrick Troughton
213,Toba,Kenneth Ives
213,Quark,John Hicks
213,Quark,Gary Smith
213,Quark,Freddie Wilson
213,Quark voice,Sheila Grant
213,Kando,Felicity Gibson
213,Teel,Giles Block
213,Balan,Johnson Bayly
213,Zoe,Wendy Padbury
213,Rago,Ronald Allen
213,Jamie,Frazer Hines
213,Cully,Arthur Cox
213,Senex,Walter Fitzgerald
213,Tensa,Brian Cant
213,Bovem,Alan Gerrard
213,Council Member,Ronald Mansell
213,Council Member,John Cross
213,Council Member,Malcolm Watson (uncredited)
213,Council Member,Aubrey Danvers Walker (uncredited)
214,Dr. Who,Patrick Troughton
214,Toba,Kenneth Ives
214,Teel,Giles Block
214,Kando,Felicity Gibson
214,Zoe,Wendy Padbury
214,Rago,Ronald Allen
214,Jamie,Frazer Hines
214,Cully,Arthur Cox
214,Quark,John Hicks
214,Quark,Gary Smith
214,Quark,Freddie Wilson
214,Quark voice,Sheila Grant
214,Dummy,John Tucker (uncredited)
214,(extra),Chris Jefferies (uncredited)
215,Dr. Who,Patrick Troughton
215,Jamie,Frazer Hines
215,Zoe,Wendy Padbury
215,The Master,Emrys Jones
215,Robot,John Atterbury
215,Robot,Ralph Carrigan
215,Robot,Bill Wiesener
215,Robot,Terry Wright
216,Dr. Who,Patrick Troughton
216,Jamie,Frazer Hines
216,Jamie,Hamish Wilson
216,Zoe,Wendy Padbury
216,The Master,Emrys Jones
216,A Stranger,Bernard Horsfall
216,Child,Barbara Loft
216,Child,Sylvestra le Tozel
216,Child,Timothy Horton
216,Child,Christopher Reynalds
216,Child,David Reynalds
216,Child,Martin Langley
216,Soldier,Paul Alexander
216,Soldier,Ian Hines
216,Soldier,Richard Ireson
216,Redcoat,Philip Ryan
216,(extra),Richard Hallifax (uncredited)
217,Dr. Who,Patrick Troughton
217,Jamie,Frazer Hines
217,Jamie,Hamish Wilson
217,Zoe,Wendy Padbury
217,The Master,Emrys Jones
217,Gulliver,Bernard Horsfall
217,Princess Rapunzel,Christine Pirie
217,The Medusa,Sue Pulford
217,Soldier,Paul Alexander
217,Soldier,Ian Hines
217,Soldier,Richard Ireson
217,Redcoat,Philip Ryan
218,Dr. Who,Patrick Troughton
218,Zoe,Wendy Padbury
218,Jamie,Frazer Hines
218,The Master,Emrys Jones
218,Gulliver,Bernard Horsfall
218,Karkus,Christopher Robbie
218,The Medusa,Sue Pulford
218,Robot,John Atterbury
218,Robot,Ralph Carrigan
218,Robot,Bill Wiesener
218,Robot,Terry Wright
219,Dr. Who,Patrick Troughton
219,Jamie,Frazer Hines
219,Zoe,Wendy Padbury
219,The Master,Emrys Jones
219,Gulliver,Bernard Horsfall
219,Karkus,Christopher Robbie
219,Princess Rapunzel,Christine Pirie
219,Child,Barbara Loft
219,Child,Sylvestra le Tozel
219,Child,Timothy Horton
219,Child,Christopher Reynalds
219,Child,David Reynalds
219,Child,Martin Langley
219,D'Artagnan,John Greenwood
219,Sir Lancelot,John Greenwood
219,Cyrano,David Cannon
219,Blackbeard,Gerry Wain
219,Robot,John Atterbury
219,Robot,Ralph Carrigan
219,Robot,Bill Wiesener
219,Robot,Terry Wright
219,Soldier,Paul Alexander
219,Soldier,Ian Hines
219,Soldier,Richard Ireson
220,Dr. Who,Patrick Troughton
220,Jamie,Frazer Hines
220,Zoe,Wendy Padbury
220,Isobel,Sally Faulkner
220,Tobias Vaughn,Kevin Stoney
220,Packer,Peter Halliday
220,Lorry Driver,Murray Evans
220,Benton,John Levene
220,Tracy,Geoffrey Cheshire
220,Patrolman,Walter Randall
220,Phone Operator,Sheila Dunn
220,Patrolman,Dave Carter (uncredited)
220,Patrolman,Terry Duggan (uncredited)
220,Patrolman,Ray Ford (uncredited)
220,Patrolman,Peter Pocook (uncredited)
220,IE Guard,Leslie Bates (uncredited)
220,IE Guard,Bryan Nolan (uncredited)
220,Driver,Ron Ringer (uncredited)
220,Driver,Harry Martin (uncredited)
221,Dr. Who,Patrick Troughton
221,Tobias Vaughn,Kevin Stoney
221,Jamie,Frazer Hines
221,Tracy,Geoffrey Cheshire
221,Benton,John Levene
221,Zoe,Wendy Padbury
221,Isobel,Sally Faulkner
221,Gregory,Ian Fairbairn
221,Packer,Peter Halliday
221,Brigadier Lethbridge-Stewart,Nicholas Courtney
221,Sergeant Walters,James Thornhill
221,Captain Turner,Robert Sidaway
221,Phone Operator,Sheila Dunn (uncredited)
221,IE Guard,Leslie Bates (uncredited)
221,IE Guard,Maurice Brooks (uncredited)
221,IE Guard,Kenneth Hale (uncredited)
221,UNIT Soldier,Leslie Conrad (uncredited)
221,UNIT Soldier,Charles Finch (uncredited)
221,UNIT Soldier,James Holbrook (uncredited)
221,UNIT Soldier,Ross Huntley (uncredited)
221,UNIT Soldier,Richard Kitteridge (uncredited)
221,UNIT Soldier,Steve Kelly (uncredited)
221,UNIT Soldier,Roy Pearce (uncredited)
221,Warehouseman,John Lord (uncredited)
221,Warehouseman,Gordon Stothard (uncredited)
222,Dr. Who,Patrick Troughton
222,Jamie,Frazer Hines
222,Packer,Peter Halliday
222,Tobias Vaughn,Kevin Stoney
222,Brigadier Lethbridge-Stewart,Nicholas Courtney
222,Benton,John Levene
222,Captain Turner,Robert Sidaway
222,Sergeant Walters,James Thornhill
222,Professor Watkins,Edward Burnham
222,IE Guard,Leslie Bates (uncredited)
222,IE Guard,Maurice Brooks (uncredited)
222,IE Guard,Kenneth Hale (uncredited)
222,IE Guard,Ron Conrad (uncredited)
222,IE Guard,Alistair McFarlane (uncredited)
222,UNIT Soldier,Leslie Conrad (uncredited)
222,UNIT Soldier,Charles Finch (uncredited)
222,UNIT Soldier,James Holbrook (uncredited)
222,UNIT Soldier,Ross Huntley (uncredited)
222,UNIT Soldier,Richard Kitteridge (uncredited)
222,UNIT Soldier,Steve Kelly (uncredited)
222,UNIT Soldier,Roy Pearce (uncredited)
223,Dr. Who,Patrick Troughton
223,Jamie,Frazer Hines
223,Zoe,Wendy Padbury
223,Isobel,Sally Faulkner
223,Tobias Vaughn,Kevin Stoney
223,Packer,Peter Halliday
223,Captain Turner,Robert Sidaway
223,Sergeant Walters,James Thornhill
223,Brigadier Lethbridge-Stewart,Nicholas Courtney
223,Professor Watkins,Edward Burnham
223,Major General Rutlidge,Edward Dentith
223,Phone Operator,Sheila Dunn (uncredited)
223,Cyberman,Pat Gorman (uncredited)
223,IE Guard,Maurice Brooks (uncredited)
223,IE Guard,Derrick Slater (uncredited)
223,IE Guard,Leslie Bates (uncredited)
223,IE Guard,Bryan Nolan (uncredited)
223,UNIT Soldier,Leslie Conrad (uncredited)
223,UNIT Soldier,Charles Finch (uncredited)
223,UNIT Soldier,James Holbrook (uncredited)
224,Dr. Who,Patrick Troughton
224,Jamie,Frazer Hines
224,Zoe,Wendy Padbury
224,Isobel,Sally Faulkner
224,Captain Turner,Robert Sidaway
224,Brigadier Lethbridge-Stewart,Nicholas Courtney
224,Major General Rutlidge,Edward Dentith
224,Phone Operator,Sheila Dunn
224,Tobias Vaughn,Kevin Stoney
224,Packer,Peter Halliday
224,Workman,Peter Thompson
224,Gregory,Ian Fairbairn
224,Sergeant Walters,James Thornhill
224,Policeman,Dominic Allan
224,Benton,John Levene (uncredited)
224,Warehouseman,Miles Northover (uncredited)
224,Cyberman,Derek Chafer (uncredited)
224,Cyberman,Pat Gorman (uncredited)
224,Cyberman,Ralph Carrigan (uncredited)
224,Cyberman,Charles Finch (uncredited)
224,UNIT Soldier,Ron Conrad (uncredited)
224,UNIT Soldier,Richard Kitteridge (uncredited)
224,UNIT Soldier,Steve Kelly (uncredited)
224,UNIT Soldier,Roy Pearce (uncredited)
225,Dr. Who,Patrick Troughton
225,Jamie,Frazer Hines
225,Zoe,Wendy Padbury
225,Isobel,Sally Faulkner
225,Captain Turner,Robert Sidaway
225,Private Perkins,Stacy Davies
225,Sergeant Walters,James Thornhill
225,Brigadier Lethbridge-Stewart,Nicholas Courtney
225,Tobias Vaughn,Kevin Stoney
225,Packer,Peter Halliday
225,Gregory,Ian Fairbairn
225,Professor Watkins,Edward Burnham
225,Benton,John Levene
225,Cyberman,Pat Gorman
225,Cyberman,Charles Finch
225,Cyberman,Derek Chafer
225,Cyberman,John Spadbury
225,Cyberman,Terence Denville
225,Cyberman,Ralph Carrigan
225,Architect,Trevor Shewring (uncredited)
225,City Gent,Simon Stapely (uncredited)
225,Window Cleaner,Roy Denton (uncredited)
225,Charlady,Lyn Turner (uncredited)
225,Man in Car,Jerry King (uncredited)
225,Man in Car,Terry Nelson (uncredited)
226,Dr. Who,Patrick Troughton
226,Isobel,Sally Faulkner
226,Zoe,Wendy Padbury
226,Jamie,Frazer Hines
226,Captain Turner,Robert Sidaway
226,Sergeant Walters,James Thornhill
226,Brigadier Lethbridge-Stewart,Nicholas Courtney
226,Tobias Vaughn,Kevin Stoney
226,Packer,Peter Halliday
226,Professor Watkins,Edward Burnham
226,Major Branwell,Clifford Earl
226,Sergeant Peters,Norman Hartley
226,Cyberman,Ralph Carrigan
226,Cyberman,Charles Finch
226,Cyberman,Pat Gorman
226,Cyberman,Richard King
226,Cyberman,John Spadbury
226,Cyberman,Peter Thornton
226,UNIT/Bunker Crew,Gary Dean (uncredited)
226,UNIT/Bunker Crew,Barry Dupres (uncredited)
226,UNIT/Bunker Crew,John Kielty (uncredited)
226,UNIT/Bunker Crew,Mike Lee (uncredited)
226,UNIT/Bunker Crew,Crawford Lyle (uncredited)
226,UNIT/Bunker Crew,Alistair McFarlane (uncredited)
226,UNIT/Bunker Crew,Tony Manning (uncredited)
226,UNIT/Bunker Crew,Victor Munt (uncredited)
226,UNIT/Bunker Crew,David Pelton (uncredited)
226,UNIT/Bunker Crew,Clark Reed (uncredited)
226,UNIT/Bunker Crew,Peter Roy (uncredited)
226,UNIT/Bunker Crew,Derrick Slater (uncredited)
227,Dr. Who,Patrick Troughton
227,Tobias Vaughn,Kevin Stoney
227,Isobel,Sally Faulkner
227,Benton,John Levene
227,Major Branwell,Clifford Earl
227,Zoe,Wendy Padbury
227,Brigadier Lethbridge-Stewart,Nicholas Courtney
227,Packer,Peter Halliday
227,Captain Turner,Robert Sidaway
227,Sergeant Peters,Norman Hartley
227,Jamie,Frazer Hines
227,Cyberman,Ralph Carrigan
227,Cyberman,Charles Finch
227,Cyberman,Pat Gorman
227,Cyberman,Richard King
227,Cyberman,John Spadbury
227,Cyberman,Peter Thornton
227,Stunts,Terry Walsh (uncredited)
227,Stunts,Maurice Brooks (uncredited)
227,Stunts,Alan Chuntz (uncredited)
227,Stunts,Billy Horrigan (uncredited)
227,UNIT Soldier,Bobby Beaumont (uncredited)
227,UNIT Soldier,Reg Cranfield (uncredited)
227,UNIT Soldier,Robert Pearce (uncredited)
228,Dr. Who,Dr. Who
228,Selris,James Copeland
228,Abu,Terence Brown
228,Vana,Madeleine Mills
228,Thara,Gilbert Wynne
228,Eelek,Philip Madoc
228,Axus,Richard Ireson
228,Jamie,Frazer Hines
228,Zoe,Wendy Padbury
228,Beta,James Cairncross
228,Student,Bronson Shaw
228,Custodian,Maurice Selwyn
228,Kroton Voice,Roy Skelton
228,Gond,Robin Scott (uncredited)
228,Gond,Peter Rann (uncredited)
228,Gond,David Melbourne (uncredited)
228,Gond,Nick Rutter (uncredited)
228,Gond,Robert Haywood (uncredited)
228,Gond,Mark Johnson (uncredited)
228,Gond,Reg Nardi (uncredited)
228,Gond,Keith Ashton (uncredited)
228,Gond,Ronnie Chance (uncredited)
228,Gond,Roger Charles (uncredited)
228,Gond,Alex Hood (uncredited)
228,Gond,Justine Elliott (uncredited)
228,Gond,Patricia Matthews (uncredited)
228,Gond,Wendy Wilson (uncredited)
228,Gond,Sylvia Steele (uncredited)
229,Dr. Who,Patrick Troughton
229,Zoe,Wendy Padbury
229,Jamie,Frazer Hines
229,Selris,James Copeland
229,Thara,Gilbert Wynne
229,Vana,Madeleine Mills
229,Kroton,Robert Grant
229,Kroton,Miles Northover
229,Kroton Voice,Roy Skelton
229,Kroton Voice,Patrick Tull
229,Gond,Robin Scott (uncredited)
229,Gond,Peter Rann (uncredited)
229,Gond,David Melbourne (uncredited)
229,Gond,Nick Rutter (uncredited)
229,Gond,Robert Haywood (uncredited)
229,Gond,Mark Johnson (uncredited)
229,Gond,Reg Nardi (uncredited)
229,Gond,Keith Ashton (uncredited)
229,Gond,Roger Charles (uncredited)
229,Gond,Alex Hood (uncredited)
230,Dr. Who,Patrick Troughton
230,Jamie,Frazer Hines
230,Kroton,Robert La'Bassiere
230,Kroton,Miles Northover
230,Zoe,Wendy Padbury
230,Beta,James Cairncross
230,Eelek,Philip Madoc
230,Selris,James Copeland
230,Thara,Gilbert Wynne
230,Vana,Madeleine Mills
230,Axus,Richard Ireson
230,Kroton Voice,Roy Skelton
230,Kroton Voice,Patrick Tull
230,Gond,Robin Scott (uncredited)
230,Gond,Peter Rann (uncredited)
230,Gond,David Melbourne (uncredited)
230,Gond,Nick Rutter (uncredited)
230,Gond,Robert Haywood (uncredited)
230,Gond,Mark Johnson (uncredited)
230,Gond,Reg Nardi (uncredited)
230,Gond,Ronnie Chance (uncredited)
230,Gond,Roger Charles (uncredited)
230,Gond,Alex Hood (uncredited)
231,Dr. Who,Patrick Troughton
231,Zoe,Wendy Padbury
231,Thara,Gilbert Wynne
231,Vana,Madeleine Mills
231,Selris,James Copeland
231,Eelek,Philip Madoc
231,Axus,Richard Ireson
231,Jamie,Frazer Hines
231,Kroton,Robert La'Bassiere
231,Beta,James Cairncross
231,Kroton Voice,Roy Skelton
231,Kroton Voice,Patrick Tull
231,Gond,Tony Starr (uncredited)
231,Gond,Peter Rann (uncredited)
231,Gond,David Melbourne (uncredited)
231,Gond,Nick Rutter (uncredited)
231,Gond,Robert Haywood (uncredited)
231,Gond,Mark Johnson (uncredited)
231,Gond,Reg Nardi (uncredited)
231,Gond,Ronnie Chance (uncredited)
231,Gond,Roger Charles (uncredited)
231,Gond,Alex Hood (uncredited)
232,Dr. Who,Patrick Troughton
232,Gia Kelly,Louise Pajo
232,Computer Voice,John Witty
232,Brent,Ric Felgate
232,Osgood,Harry Towb
232,Radnor,Ronald Leigh-Hunt
232,Fewsham,Terry Scully
232,Phipps,Christopher Coll
232,Locke,Martin Cort
232,Zoe,Wendy Padbury
232,Jamie,Frazer Hines
232,Eldred,Philip Ray
232,Slaar,Alan Bennion
232,Ice Warrior,Steve Peters
232,Technician,Monique Briant (uncredited)
232,Technician,Pat Gorman (uncredited)
232,Technician,Edward Cogdell (uncredited)
232,Stunts,Alan Chuntz (uncredited)
233,Dr. Who,Patrick Troughton
233,Slaar,Alan Bennion
233,Locke,Martin Cort
233,Phipps,Christopher Coll
233,Fewsham,Terry Scully
233,Eldred,Philip Ray
233,Radnor,Ronald Leigh-Hunt
233,Gia Kelly,Louise Pajo
233,Jamie,Frazer Hines
233,Zoe,Wendy Padbury
233,Computer Voice,John Witty
233,Brent,Ric Felgate
233,Ice Warrior,Tony Harwood
233,Ice Warrior,Steve Peters
233,Technician,Monique Briant (uncredited)
233,(extra),Pat Gorman (uncredited)
233,Technician,Royston Farrell (uncredited)
233,Technician,Eric Kent (uncredited)
234,Dr. Who,Patrick Troughton
234,Jamie,Frazer Hines
234,Zoe,Wendy Padbury
234,Phipps,Christopher Coll
234,Gia Kelly,Louise Pajo
234,Fewsham,Terry Scully
234,Slaar,Alan Bennion
234,Brent,Ric Felgate
234,Eldred,Philip Ray
234,Radnor,Ronald Leigh-Hunt
234,Computer Voice,John Witty
234,Ice Warrior,Tony Harwood
234,Ice Warrior,Steve Peters
234,(extra),Pat Gorman (uncredited)
234,Technician,Royston Farrell (uncredited)
234,Technician,Monique Briant (uncredited)
234,Technician,Eric Kent (uncredited)
235,Dr. Who,Patrick Troughton (credit only)
235,Brent,Ric Felgate
235,Radnor,Ronald Leigh-Hunt
235,Eldred,Philip Ray
235,Fewsham,Terry Scully
235,Slaar,Alan Bennion
235,Zoe,Wendy Padbury
235,Gia Kelly,Louise Pajo
235,Phipps,Christopher Coll
235,Jamie,Frazer Hines
235,Computer Voice,John Witty
235,Security Guard,Derrick Slater
235,Ice Warrior,Sonny Caldinez
235,Ice Warrior,Tony Harwood
235,Ice Warrior,Steve Peters
235,Stunt Man,Alan Chuntz
235,Guard,Peter Blair Stewart (uncredited)
235,Technician,Monique Briant (uncredited)
235,(extra),Pat Gorman (uncredited)
235,(extra),Edward Cogdell (uncredited)
235,(extra),Ron Conrad (uncredited)
235,(extra),Douglas Roe (uncredited)
235,(extra),Tom Laird (uncredited)
236,Dr. Who,Patrick Troughton
236,Zoe,Wendy Padbury
236,Fewsham,Terry Scully
236,Gia Kelly,Louise Pajo
236,Jamie,Frazer Hines
236,Radnor,Ronald Leigh-Hunt
236,Eldred,Philip Ray
236,Sir James Gregson,Hugh Morton
236,Slaar,Alan Bennion
236,Computer Voice,John Witty
236,Grand Marshall,Graham Leaman
236,Ice Warrior,Sonny Caldinez
236,Ice Warrior,Tony Harwood
236,Ice Warrior,Steve Peters
236,Weather Control Operator,Peter Whitaker (uncredited)
236,Technician,Monique Briant (uncredited)
236,(extra),Pat Gorman (uncredited)
236,(extra),Edward Cogdell (uncredited)
237,Dr. Who,Patrick Troughton
237,Jamie,Frazer Hines
237,Zoe,Wendy Padbury
237,Computer Voice,John Witty
237,Radnor,Ronald Leigh-Hunt
237,Eldred,Philip Ray
237,Gia Kelly,Louise Pajo
237,Slaar,Alan Bennion
237,Grand Marshall,Graham Leaman
237,Ice Warrior,Sonny Caldinez
237,Ice Warrior,Tony Harwood
237,Ice Warrior,Steve Peters
237,Technician,Monique Briant (uncredited)
237,(extra),Crawford Lyle (uncredited)
237,(extra),Douglas Roe (uncredited)
237,(extra),Tony Hutchins (uncredited)
237,(extra),Keith Goodman (uncredited)
237,(extra),Phil Lundgren (uncredited)
237,(extra),John Crease (uncredited)
237,(extra),Peter Roy (uncredited)
238,Dr. Who,Patrick Troughton
238,Caven,Dudley Foster
238,General Hermack,Jack May
238,Major Ian Warne,Donald Gee
238,Technician Penn,George Layton
238,Lt. Sorba,Nik Zaran
238,Space Guard,Anthony Donovan
238,Jamie,Frazer Hines
238,Zoe,Wendy Padbury
238,(extra),Bill Richards (uncredited)
238,(extra),Edward Cogdell (uncredited)
238,(extra),Tom Segal (uncredited)
238,(extra),Neville Simons (uncredited)
238,(extra),Clive Rogers (uncredited)
238,(extra),Alf Coster (uncredited)
238,(extra),Leslie Conrad (uncredited)
238,(extra),John Caesar (uncredited)
238,(extra),Terry Nelson (uncredited)
238,(extra),Peter Roy (uncredited)
238,(extra),Paul Kirby (uncredited)
239,Dr. Who,Patrick Troughton
239,Milo Clancey,Gordon Gostelow
239,General Hermack,Jack May
239,Jamie,Frazer Hines
239,Madeleine Issigri,Lisa Daniely
239,Major Ian Warne,Donald Gee
239,Zoe,Wendy Padbury
239,Technician Penn,George Layton
239,(extra),Terry Nelson (uncredited)
239,(extra),Valerie Stanton (uncredited)
239,(extra),Tom Segal (uncredited)
239,(extra),Raymond Turton (uncredited)
239,(extra),Tony Hutchins (uncredited)
239,(extra),Neville Simons (uncredited)
240,Dr. Who,Patrick Troughton
240,General Hermack,Jack May
240,Madeleine Issigri,Lisa Daniely
240,Technician Penn,George Layton
240,Major Ian Warne,Donald Gee
240,Jamie,Frazer Hines
240,Zoe,Wendy Padbury
240,Milo Clancey,Gordon Gostelow
240,Dervish,Brian Peck
240,Caven,Dudley Foster
240,(extra),Valerie Stanton (uncredited)
240,(extra),John Caesar (uncredited)
240,(extra),James Haswell (uncredited)
240,(extra),Bill Richards (uncredited)
240,(extra),Edward Cogdell (uncredited)
241,Dr. Who,Patrick Troughton
241,Zoe,Wendy Padbury
241,Jamie,Frazer Hines
241,Caven,Dudley Foster
241,Milo Clancey,Gordon Gostelow
241,Lt. Sorba,Nik Zaran
241,Dervish,Brian Peck
241,General Hermack,Jack May
241,Major Ian Warne,Donald Gee
241,Technician Penn,George Layton
241,Pirate Guard,Victor Maddern
241,Madeleine Issigri,Lisa Daniely
241,(extra),Bill Richards (uncredited)
241,(extra),Edward Cogdell (uncredited)
241,(extra),James Haswell (uncredited)
241,(extra),Tom Segal (uncredited)
241,(extra),Neville Simons (uncredited)
241,(extra),Leslie Conrad (uncredited)
241,(extra),John Caesar (uncredited)
241,(extra),Terry Nelson (uncredited)
241,(extra),Valerie Stanton (uncredited)
241,(extra),Derek Chafer (uncredited)
242,Dr. Who,Patrick Troughton
242,Madeleine Issigri,Lisa Daniely
242,Milo Clancey,Gordon Gostelow
242,Jamie,Frazer Hines
242,Zoe,Wendy Padbury
242,Lt. Sorba,Nik Zaran
242,Caven,Dudley Foster
242,Pirate Guard,Victor Maddern
242,General Hermack,Jack May
242,Major Ian Warne,Donald Gee
242,Technician Penn,George Layton
242,Dom Issigri,Esmond Knight
242,Dervish,Brian Peck
242,(extra),Valerie Stanton (uncredited)
242,(extra),Ron Conrad (uncredited)
242,(extra),James Haswell (uncredited)
242,(extra),Tom Segal (uncredited)
242,(extra),Neville Simons (uncredited)
242,(extra),Derek Chafer (uncredited)
243,Dr. Who,Patrick Troughton
243,Dom Issigri,Esmond Knight
243,Milo Clancey,Gordon Gostelow
243,Caven,Dudley Foster
243,Madeleine Issigri,Lisa Daniely
243,Dervish,Brian Peck
243,General Hermack,Jack May
243,Major Ian Warne,Donald Gee
243,Technician Penn,George Layton
243,Jamie,Frazer Hines
243,Zoe,Wendy Padbury
243,(extra),James Haswell (uncredited)
243,(extra),Tom Segal (uncredited)
243,(extra),Neville Simons (uncredited)
243,(extra),Terry Nelson (uncredited)
243,(extra),Valerie Stanton (uncredited)
244,Dr. Who,Patrick Troughton
244,Jamie,Frazer Hines
244,Zoe,Wendy Padbury
244,Lady Jennifer Buckingham,Jane Sherwin
244,German soldier,John Livesey
244,Lieutenant Carstairs,David Savile
244,Major Barrington,Terence Bayler
244,Sergeant Willis,Brian Forster
244,General Smythe,Noel Coleman
244,Captain Ransom,Hubert Rees
244,Sgt. Major Burns,Esmond Webb
244,Trench Soldier,Alistair Meldrum (uncredited)
244,Trench Soldier,Allan Travell (uncredited)
244,Machine Gunner,Patrick Scott (uncredited)
244,Sentry,Ken Fraser (uncredited)
244,German soldier,David Billa (uncredited)
244,British Soldier (in No Man's Land),Derek Hunt (uncredited)
244,British Soldier (in No Man's Land),David Melbourne (uncredited)
244,Trench Soldier,Keith Ashley (uncredited)
244,Trench Soldier,Roy Brent (uncredited)
244,Machine Gunner,George Curtis (uncredited)
244,Firing Squad,Eden Fox (uncredited)
244,Firing Squad,Alex Hood (uncredited)
244,Firing Squad,Tom O'Leary (uncredited)
244,(extra),Paul Phillips (uncredited)
244,(extra),Bill Hughes (uncredited)
244,(extra),James Haswell (uncredited)
245,Dr. Who,Patrick Troughton
245,Captain Ransom,Hubert Rees
245,Zoe,Wendy Padbury
245,General Smythe,Noel Coleman
245,Jamie,Frazer Hines
245,Redcoat,Tony McEwan
245,Commandant Gorton,Richard Steele
245,Lieutenant Carstairs,David Savile
245,Lady Jennifer Buckingham,Jane Sherwin
245,Military Chauffeur,Peter Stanton
245,Military Policeman,Pat Gorman
245,Alien Technician,Derek Crick (uncredited)
245,Machine Gunner,Eden Fox (uncredited)
245,Prison Sentry,Roy Brent (uncredited)
245,Prison Sentry,Paul Phillips (uncredited)
245,Prison Sentry,Bill Hughes (uncredited)
245,Prison Sentry,Alex Hughes (uncredited)
245,Prison Sergeant,Tom O'Leary (uncredited)
245,Prisoner,James Haswell (uncredited)
245,Prisoner,Douglas Roe (uncredited)
245,Roman Soldier,Emmett Hennessy (uncredited)
245,Roman Soldier,Roger Howton (uncredited)
245,Roman Soldier,Tom Laird (uncredited)
245,Roman Soldier,Royston Farrell (uncredited)
245,Roman Soldier,Patrick Scott (uncredited)
245,Roman Soldier,Ray Cornell (uncredited)
245,Roman Soldier,Crawford Lyall (uncredited)
245,Sniper,Clive Rodgers (uncredited)
245,Stunt Driver,Reg Dent (uncredited)
246,Dr. Who,Patrick Troughton
246,Jamie,Frazer Hines
246,Zoe,Wendy Padbury
246,Lieutenant Carstairs,David Savile
246,Lady Jennifer Buckingham,Jane Sherwin
246,Captain Ransom,Hubert Rees
246,Lieut. Crane,David Valla
246,German soldier,Bernard Davies
246,Lieut. Lucke,Gregg Palmer
246,von Weich,David Garfield
246,General Smythe,Noel Coleman
246,War Chief,Edward Brayshaw
246,1862 soldier,Leslie Bates (uncredited)
246,Alien Guard,Bruce Wells (uncredited)
246,Alien Guard,Bud Castleman (uncredited)
246,Alien Guard,Bill Richards (uncredited)
246,Alien Technician,Steve Pokol (uncredited)
246,Alien Technician,Alf Cossir (uncredited)
246,Alien Technician,Lee Fenton (uncredited)
246,Alien Technician,Paul St. Clair (uncredited)
246,Alien Technician,Terry Sartain (uncredited)
246,Alien Technician,Ian Munro (uncredited)
246,Alien Technician,Terry Monro (uncredited)
246,Confederate Horsemen,Peter Diamond (uncredited)
246,Confederate Horsemen,Gerry Wain (uncredited)
246,Confederate Horsemen,Arthur Howell (uncredited)
246,Confederate Horsemen,Reg Dent (uncredited)
246,Foot Soldier,David Cannon (uncredited)
246,Foot Soldier,Patrick Milner (uncredited)
246,Foot Soldier,Martin Lyder (uncredited)
246,Foot Soldier,John Spradbury (uncredited)
246,Foot Soldier,Peter Kaukus (uncredited)
246,German soldier,Gary Dean (uncredited)
246,German soldier,Andrew Andrews (uncredited)
246,German soldier,Denis Balcombe (uncredited)
246,Stunt Man,David Grey (uncredited)
246,Stunt Man,Jonny Scripps (uncredited)
247,Dr. Who,Patrick Troughton
247,Jamie,Frazer Hines
247,Zoe,Wendy Padbury
247,Lady Jennifer Buckingham,Jane Sherwin
247,Sgt. Thompson,Bill Hutchinson
247,Corporal Riley,Terry Adams
247,Leroy,Leslie Schofield
247,von Weich,David Garfield
247,War Chief,Edward Brayshaw
247,Scientist,Vernon Dobtcheff
247,Harper,Rudolph Walker
247,Alien Guard,John Atterbury
247,Lieutenant Carstairs,David Savile
247,German soldier,David Billa (uncredited)
247,German soldier,Denis Balcombe (uncredited)
247,German soldier,Tim O'Leary (uncredited)
247,1862 Union Soldier,Les Conrad (uncredited)
247,1862 Union Soldier,Bill Richards (uncredited)
247,Alien Student,Phil Lundgren (uncredited)
247,Alien Student,Ron Conrad (uncredited)
247,Alien Student,George Howse (uncredited)
247,Alien Student,Neville Simons (uncredited)
247,Alien Student,Louis Berkman (uncredited)
247,Alien Student,Bob Willyman (uncredited)
247,Alien Student,Barry Kennington (uncredited)
247,1862 Confederate Soldier,Jim Delaney (uncredited)
247,Confederate Soldier,Leslie Bates (uncredited)
247,1862 Confederate Soldier,Bryan Nolan (uncredited)
247,Resistance Man,Allan Travell (uncredited)
247,Resistance Man,Harry Tierney (uncredited)
247,Resistance Man,David Melbourne (uncredited)
247,Foot Soldiers,Patrick Milner (uncredited)
247,Alien Guard,Martin Lyder (uncredited)
247,Foot Soldier,Peter Kaukus (uncredited)
247,Foot Soldier,John Spradbury (uncredited)
247,Foot Soldier,Terence Danville (uncredited)
